link,cmv_discount,gamma_D_effective,P_D(0.5)_no_inst,P_D(0.5)_with_inst,p_baseline
identity,1.0,0.3,0.20147019520281473,0.16117615616225178,0.17231638418079095
identity,0.85,0.255,0.19709712354951114,0.15767769883960892,0.17231638418079095
identity,0.7,0.21,0.1927240518962076,0.15417924151696608,0.17231638418079095
log_linear,1.0,0.3,0.20418239015787026,0.1633459121262962,0.17231638418079095
log_linear,0.85,0.255,0.1990386430312763,0.15923091442502102,0.17231638418079095
log_linear,0.7,0.21,0.19402872576713573,0.1552229806137086,0.17231638418079095
logit,1.0,0.3,0.19599779433722642,0.15805654122115667,0.17231638418079095
logit,0.85,0.255,0.19230287472831903,0.15488441972481362,0.17231638418079095
logit,0.7,0.21,0.1886582448109933,0.1517626519404661,0.17231638418079095
