Dependent_Var,gender,n,R2,Adj_R2
power_harassment,0,133,0.2866045767952483,0.21526503447477308
power_harassment,1,220,0.20274039587758774,0.15652244781252034
gender_harassment,0,133,0.2826836137908698,0.21095197516995678
gender_harassment,1,220,0.16649613732470825,0.1181770728217928
