Dependent_Var,Variable,Std_Beta,Std_Error_Robust,t_value_Robust,p_value_Robust,Significance
Machiavellianism,hexaco_HH,-0.29334647010078074,0.06471094718637248,-4.533181522686115,5.810184257429948e-06,***
Machiavellianism,hexaco_E,-0.04635997163074111,0.05471325553288,-0.8473261402418474,0.3968133602934768,
Machiavellianism,hexaco_X,-0.17355798582763624,0.06480868117268801,-2.6780052099066305,0.00740620663267045,**
Machiavellianism,hexaco_A,-0.14264037978804406,0.05453048675172574,-2.615791427600449,0.008902091738005139,**
Machiavellianism,hexaco_C,0.1122595168600641,0.056641067740521044,1.9819456330579306,0.04748532583155364,*
Machiavellianism,hexaco_O,0.08496669983597038,0.052339585496392865,1.6233735714591417,0.10450957080253544,
Machiavellianism,age,-0.11379311835200863,0.054942976098547605,-2.071113114584572,0.03834822655766097,*
Machiavellianism,gender,0.03549049114824212,0.05442178872211548,0.6521375350130634,0.5143124519551141,
Machiavellianism,area_Hokkaido,-0.04799674420855513,0.07584862228214981,-0.6327965197576261,0.5268665297607742,
Machiavellianism,area_Hokuriku,-0.09322365842934499,0.08084193664176477,-1.1531596384491307,0.24884486658291705,
Machiavellianism,area_Kanto,-0.11944572631699181,0.17087162274916937,-0.6990378179548977,0.4845283970132529,
Machiavellianism,area_Kinki,-0.04304795238875223,0.1351643759622591,-0.31848593301516204,0.7501163634159025,
Machiavellianism,area_Kyushu,-0.025355198013862067,0.08818290269906555,-0.28752963712693425,0.7737068123951798,
Machiavellianism,area_Okinawa,-0.021716369600004726,0.020498616064774745,-1.0594066219583766,0.28941463519682353,
Machiavellianism,area_Shikoku,-0.013078043239061967,0.06820636663441511,-0.1917422651929261,0.8479440973553092,
Machiavellianism,area_Shinetsu,0.014030583549849882,0.08195118881254775,0.1712065895949715,0.864061326250392,
Machiavellianism,area_Tohoku,-0.07383965636127765,0.08277836440775876,-0.892016372751099,0.37238415668395364,
Machiavellianism,area_Tokai,-0.06750774399834007,0.1098398256520789,-0.6146017038680758,0.5388177889056129,
Narcissism,hexaco_HH,-0.29677007870711797,0.05420496194562368,-5.474961480552762,4.376067901805242e-08,***
Narcissism,hexaco_E,-0.13002417006928288,0.049326236135371966,-2.6360042901396694,0.008388867090386807,**
Narcissism,hexaco_X,0.41913260465811664,0.05338103696683361,7.851713426221555,4.103913863043866e-15,***
Narcissism,hexaco_A,-0.0406553597923076,0.05243448089060318,-0.7753554359988615,0.4381296604122633,
Narcissism,hexaco_C,0.09722496751123813,0.04784553554209294,2.032059342834668,0.042147648692628936,*
Narcissism,hexaco_O,0.11366605338848576,0.0466466990695361,2.4367437708516975,0.014820176562753997,*
Narcissism,age,0.04470979619330278,0.04346389561519267,1.0286651842978063,0.30363703556620303,
Narcissism,gender,-0.055341411972107415,0.04410087416690739,-1.2548824261999494,0.2095214444781719,
Narcissism,area_Hokkaido,0.008483794715469416,0.07176433120109156,0.11821742881845981,0.9058953805921334,
Narcissism,area_Hokuriku,-0.058463102531185515,0.0523516656880091,-1.1167381546099728,0.26410629895230775,
Narcissism,area_Kanto,0.07984520768769963,0.13354323934177115,0.5978977901184157,0.5499081345138055,
Narcissism,area_Kinki,0.018897888919013835,0.10507738297558063,0.17984735043701644,0.85727240936287,
Narcissism,area_Kyushu,-0.03952628164197862,0.07141594841985718,-0.5534657526299595,0.5799445253423778,
Narcissism,area_Okinawa,-0.025475441798080267,0.6202355134453253,-0.04107381993747439,0.9672370456487124,
Narcissism,area_Shikoku,-0.07096173686020854,0.046509971782296336,-1.5257316687347375,0.12707670422465003,
Narcissism,area_Shinetsu,0.041917596293092656,0.07319853137649977,0.5726562473977478,0.5668774672350754,
Narcissism,area_Tohoku,-0.024481011227901285,0.07340737549282646,-0.33349525253485773,0.7387604724802646,
Narcissism,area_Tokai,0.08266571309014924,0.0862866813653819,0.9580356062148268,0.3380448042564067,
Psychopathy,hexaco_HH,-0.22391282427730794,0.05281577599649673,-4.2395064742049815,2.2401173343372e-05,***
Psychopathy,hexaco_E,-0.1300881750363533,0.05930772483262323,-2.1934440311693777,0.02827540288633954,*
Psychopathy,hexaco_X,0.1376468978594752,0.055391108253447854,2.484999888965162,0.012955147504525994,*
Psychopathy,hexaco_A,-0.3787720622786281,0.05247358448493517,-7.218337874123524,5.262682910264495e-13,***
Psychopathy,hexaco_C,-0.058723950392802246,0.05260410296175001,-1.116337834626743,0.26427755234489525,
Psychopathy,hexaco_O,0.02930712792856937,0.05237981918638281,0.5595118193189248,0.5758124671354861,
Psychopathy,age,-0.04016443151013671,0.05036002251801242,-0.7975459402499468,0.4251340331233616,
Psychopathy,gender,-0.0778985595780594,0.05195501207950088,-1.4993463856549594,0.1337837946668583,
Psychopathy,area_Hokkaido,0.05926388476540482,0.06934201540617445,0.8546605462541511,0.39273909830802756,
Psychopathy,area_Hokuriku,-0.043489917490476086,0.07008950689225878,-0.6204911322507741,0.5349344904565299,
Psychopathy,area_Kanto,0.1686426006919759,0.14288538083611893,1.1802649067744655,0.2378948710021831,
Psychopathy,area_Kinki,0.1226157941571035,0.11345548852582309,1.080739202221984,0.2798131396458119,
Psychopathy,area_Kyushu,0.01570181454305957,0.0775227380329305,0.2025446332454057,0.8394909691165459,
Psychopathy,area_Okinawa,0.042803710393004554,0.3811997723955945,0.11228682043541334,0.9105959914830241,
Psychopathy,area_Shikoku,-0.03221058444788904,0.03548944006885469,-0.9076103873545428,0.3640841043448766,
Psychopathy,area_Shinetsu,0.034226534659114294,0.07263744269915075,0.4711968564322056,0.6375001633726558,
