cluster,centroid_C,n,harassment_rate,se,ci_lo,ci_hi
0,2.89,23,0.391304347826087,0.10176384751376008,0.19184720669911723,0.5907614889530567
1,3.13,42,0.09523809523809523,0.04529474910530199,0.006460386991703329,0.18401580348448715
2,2.85,49,0.16326530612244897,0.05280107952266715,0.059775190258021346,0.2667554219868766
3,3.94,49,0.08163265306122448,0.039114891734690196,0.004967465261231693,0.1582978408612173
4,3.68,51,0.23529411764705882,0.05939743109381191,0.11887515270318748,0.35171308259093015
5,2.27,26,0.038461538461538464,0.037714641372727696,0.0,0.11238223555208475
6,2.71,114,0.20175438596491227,0.03758610625498231,0.12808561770514695,0.27542315422467756
