regime,scaling_factor,gamma_D_effective,frontier_s,frontier_e,frontier_sum,P_ref(s=e=0.5),P_extreme(s=e=1.0),p_baseline
acute (1-day spike),0.5,0.15,0.025,1.0,1.025,0.16811543108464894,0.20137221522123722,0.17231638418079095
cross-sectional (Hershcovis),1.0,0.3,0.65,0.1,0.75,0.18127418569174447,0.23068418483200048,0.17231638418079095
prospective (De Ridder),0.6086956521739131,0.1826086956521739,0.025,1.0,1.025,0.1709760299122784,0.2077443825279249,0.17231638418079095
Hobfoll COR spiral,1.4,0.42,0.5,0.05,0.55,0.19180118937742097,0.25413376052061104,0.17231638418079095
