Variable,Spearman_r,p,sig
hexaco_O,-0.3008645735536887,7.69251651943031e-09,***
hexaco_HH,0.2800075666396299,8.451311075453199e-08,***
Machiavellianism,-0.25518895473874376,1.1844016786171058e-06,***
power_harassment,-0.13765025107479406,0.009512376910748969,**
Psychopathy,-0.1348928517641737,0.011179961536562342,*
hexaco_C,0.12177606632650968,0.02192674932703558,*
