Variable,F,p,eta_sq,sig
hexaco_O,8.974338803363667,4.921830164352913e-08,0.11421462706574488,***
hexaco_HH,6.797217514277791,4.589575486220457e-06,0.08897205599153483,***
Machiavellianism,4.119150459422612,0.0012001688960127414,0.05602826520276636,**
Psychopathy,2.418853770903948,0.03562717216207198,0.033679927260046316,*
power_harassment,2.325335960032677,0.042555575467990325,0.03232985885981561,*
