delta_E_sd,P_mediated,n_reassigned
0.0,0.17231638418079095,0
0.1,0.17418518454981435,9
0.2,0.17600254008496388,18
0.30000000000000004,0.17608058177763536,25
0.4,0.17586754967671428,32
0.5,0.17561232121006745,43
0.6000000000000001,0.17489469026830629,46
0.7000000000000001,0.17114486358038597,59
0.8,0.16968247785401586,66
0.9,0.1687490081370939,76
1.0,0.16814626390471224,80
1.1,0.1685802584957095,83
1.2000000000000002,0.16694788157013324,89
1.3,0.16653246116468293,94
1.4000000000000001,0.16462446553784382,102
1.5,0.16346766688996578,111
1.6,0.164058162092349,116
1.7000000000000002,0.16250480933012287,124
1.8,0.1612926857663044,133
1.9000000000000001,0.16061031728732575,136
2.0,0.15955123311704883,139
2.1,0.15680729626294249,147
2.2,0.15557274442395397,148
2.3000000000000003,0.1547656419219362,151
2.4000000000000004,0.15377021550278097,155
2.5,0.1510342638986313,160
2.6,0.1489169955737359,162
2.7,0.1465287058973106,167
2.8000000000000003,0.1450268013545287,168
2.9000000000000004,0.14225157724331255,173
3.0,0.1382806727739036,178
