scenario,trait,modality,k,r_pooled,r_ci_lo,r_ci_hi,tau2
primary,O,A,3,0.2232,-0.3739,0.6895,0.0359
primary,O,M,3,-0.0225,-0.1420,0.0977,0.0000
primary,O,S,1,0.0700,,,
primary,O,U,2,0.0767,-0.6297,0.7136,0.0010
primary,C,A,3,0.1675,-0.1513,0.4547,0.0043
primary,C,M,3,0.1554,-0.1939,0.4697,0.0099
primary,C,S,1,0.0680,,,
primary,C,U,3,0.2164,0.1034,0.3238,0.0000
primary,E,A,3,-0.1211,-0.2455,0.0073,0.0000
primary,E,M,3,0.0671,-0.1200,0.2496,0.0003
primary,E,S,1,0.0270,,,
primary,E,U,2,0.0496,-0.6242,0.6811,0.0006
primary,A,A,3,0.2828,-0.2930,0.7081,0.0350
primary,A,M,3,0.0817,-0.1170,0.2741,0.0008
primary,A,S,1,-0.0130,,,
primary,A,U,2,-0.0369,-0.3871,0.3226,0.0000
primary,N,A,3,0.0823,-0.0014,0.1648,0.0000
primary,N,M,3,-0.0005,-0.0594,0.0584,0.0000
primary,N,S,1,-0.0720,,,
primary,N,U,3,-0.0337,-0.6712,0.6325,0.0504
drop_beta_converted,O,A,2,0.1388,-0.9890,0.9937,0.0383
drop_beta_converted,O,M,3,-0.0225,-0.1420,0.0977,0.0000
drop_beta_converted,O,S,1,0.0700,,,
drop_beta_converted,O,U,1,0.0000,,,
drop_beta_converted,C,A,2,0.2433,-0.8566,0.9444,0.0055
drop_beta_converted,C,M,3,0.1554,-0.1939,0.4697,0.0099
drop_beta_converted,C,S,1,0.0680,,,
drop_beta_converted,C,U,2,0.2406,-0.3750,0.7089,0.0000
drop_beta_converted,E,A,2,-0.0946,-0.8773,0.8256,0.0009
drop_beta_converted,E,M,3,0.0671,-0.1200,0.2496,0.0003
drop_beta_converted,E,S,1,0.0270,,,
drop_beta_converted,E,U,1,-0.0250,,,
drop_beta_converted,A,A,2,0.1340,-0.1285,0.3789,0.0000
drop_beta_converted,A,M,3,0.0817,-0.1170,0.2741,0.0008
drop_beta_converted,A,S,1,-0.0130,,,
drop_beta_converted,A,U,1,0.0000,,,
drop_beta_converted,N,A,2,0.0591,-0.6207,0.6882,0.0000
drop_beta_converted,N,M,3,-0.0005,-0.0594,0.0584,0.0000
drop_beta_converted,N,S,1,-0.0720,,,
drop_beta_converted,N,U,2,-0.1584,-0.7477,0.5704,0.0000
drop_coi,O,A,3,0.2232,-0.3739,0.6895,0.0359
drop_coi,O,M,3,-0.0225,-0.1420,0.0977,0.0000
drop_coi,O,S,1,0.0700,,,
drop_coi,O,U,2,0.0767,-0.6297,0.7136,0.0010
drop_coi,C,A,3,0.1675,-0.1513,0.4547,0.0043
drop_coi,C,M,3,0.1554,-0.1939,0.4697,0.0099
drop_coi,C,S,1,0.0680,,,
drop_coi,C,U,3,0.2164,0.1034,0.3238,0.0000
drop_coi,E,A,3,-0.1211,-0.2455,0.0073,0.0000
drop_coi,E,M,3,0.0671,-0.1200,0.2496,0.0003
drop_coi,E,S,1,0.0270,,,
drop_coi,E,U,2,0.0496,-0.6242,0.6811,0.0006
drop_coi,A,A,3,0.2828,-0.2930,0.7081,0.0350
drop_coi,A,M,3,0.0817,-0.1170,0.2741,0.0008
drop_coi,A,S,1,-0.0130,,,
drop_coi,A,U,2,-0.0369,-0.3871,0.3226,0.0000
drop_coi,N,A,3,0.0823,-0.0014,0.1648,0.0000
drop_coi,N,M,3,-0.0005,-0.0594,0.0584,0.0000
drop_coi,N,S,1,-0.0720,,,
drop_coi,N,U,3,-0.0337,-0.6712,0.6325,0.0504
drop_unspecified_modality,O,A,3,0.2232,-0.3739,0.6895,0.0359
drop_unspecified_modality,O,M,3,-0.0225,-0.1420,0.0977,0.0000
drop_unspecified_modality,O,S,1,0.0700,,,
drop_unspecified_modality,O,U,0,,,,
drop_unspecified_modality,C,A,3,0.1675,-0.1513,0.4547,0.0043
drop_unspecified_modality,C,M,3,0.1554,-0.1939,0.4697,0.0099
drop_unspecified_modality,C,S,1,0.0680,,,
drop_unspecified_modality,C,U,0,,,,
drop_unspecified_modality,E,A,3,-0.1211,-0.2455,0.0073,0.0000
drop_unspecified_modality,E,M,3,0.0671,-0.1200,0.2496,0.0003
drop_unspecified_modality,E,S,1,0.0270,,,
drop_unspecified_modality,E,U,0,,,,
drop_unspecified_modality,A,A,3,0.2828,-0.2930,0.7081,0.0350
drop_unspecified_modality,A,M,3,0.0817,-0.1170,0.2741,0.0008
drop_unspecified_modality,A,S,1,-0.0130,,,
drop_unspecified_modality,A,U,0,,,,
drop_unspecified_modality,N,A,3,0.0823,-0.0014,0.1648,0.0000
drop_unspecified_modality,N,M,3,-0.0005,-0.0594,0.0584,0.0000
drop_unspecified_modality,N,S,1,-0.0720,,,
drop_unspecified_modality,N,U,0,,,,
